,loss,regression_loss,classification_loss,y_thresh,y_rsna_score,y_se,y_sp,max_youden,lr
0,2.7704087026477326,1.7843261571407318,0.9860825468779076,0.05,0.013888888888888888,0.08833922261484099,0.998003992015968,0.08634321463080896,0.009999999776482582
1,2.5164765405860727,1.7096283893585205,0.8068481513229199,0.05,0.012237762237762236,0.08833922261484099,0.9970059880239521,0.08534521063879308,0.009999999776482582
2,2.3474537051157096,1.6552221145153045,0.6922315904037095,0.05,0.048022598870056506,0.21908127208480566,0.9880239520958084,0.20710522418061394,0.009999999776482582
3,2.2592983118604635,1.6097526517391205,0.6495456600676989,0.060000000000000005,0.06797400611620794,0.8551236749116607,0.7385229540918163,0.593646629003477,0.009999999776482582
4,2.2272474787925836,1.5847162332057954,0.6425312473272439,0.05,0.10002422480620156,0.5159010600706714,0.9391217564870259,0.4550228165576973,0.009999999776482582
5,2.1960784075278093,1.571972133398056,0.624106273629074,0.05,0.11834016393442627,0.5724381625441696,0.9171656686626747,0.48960383120684425,0.009999999776482582
6,2.1876414838849216,1.5596141405344008,0.6280273438392789,0.05,0.11070936639118462,0.5618374558303887,0.9201596806387226,0.48199713646911135,0.009999999776482582
7,2.094302064093866,1.5128441371440888,0.5814579268007656,0.05,0.11414588801399823,0.6254416961130742,0.9021956087824351,0.5276373048955092,0.009999999776482582
8,2.100349817587086,1.5062225027322769,0.5941273139011347,0.05,0.11665096314907872,0.6643109540636042,0.8852295409181636,0.5495404949817679,0.009999999776482582
9,2.1026117466027614,1.4931624338150025,0.6094493118162034,0.05,0.08494127516778524,0.29328621908127206,0.9850299401197605,0.2783161592010326,0.009999999776482582
10,2.072125673823757,1.4848822647094726,0.5872434094480704,0.05,0.12520597928436913,0.568904593639576,0.9291417165668663,0.4980463102064423,0.009999999776482582
11,2.114063889711164,1.5124853737354278,0.6015785166075454,0.07,0.120421511627907,0.7561837455830389,0.8532934131736527,0.6094771587566916,0.009999999776482582
12,2.040232727958099,1.4583712171077727,0.5818615091039101,0.05,0.10098755411255413,0.3286219081272085,0.9750499001996008,0.3036718083268093,0.009999999776482582
13,2.0406905736034853,1.455245291686058,0.5854452822810156,0.05,0.11685049019607842,0.4664310954063604,0.9431137724550899,0.40954486786145017,0.009999999776482582
14,2.0233450556622934,1.444612680244446,0.5787323756383849,0.05,0.1193672839506173,0.696113074204947,0.8782435129740519,0.5743565871789988,0.009999999776482582
15,2.0152398055183234,1.4434281424999238,0.5718116615402047,0.05,0.14286947513812148,0.5830388692579506,0.9211576846307385,0.504196553888689,0.009999999776482582
16,2.027131316354382,1.4309223876953125,0.5962089285160183,0.05,0.12460263396911894,0.6042402826855123,0.9161676646706587,0.5204079473561709,0.009999999776482582
17,2.0326825425423913,1.450596494603157,0.5820860481180483,0.05,0.12528007075471695,0.7385159010600707,0.8592814371257484,0.5977973381858193,0.009999999776482582
18,2.0032387670842464,1.4210976364374162,0.5821411305455025,0.060000000000000005,0.13759011874469884,0.6713780918727915,0.8902195608782435,0.5615976527510349,0.009999999776482582
19,1.9787905649492052,1.4190191339731217,0.5597714326777962,0.05,0.12253289473684212,0.7173144876325088,0.8652694610778443,0.582583948710353,0.009999999776482582
20,1.9765726874982705,1.4129559964418412,0.5636166899954668,0.05,0.1399940476190476,0.5477031802120141,0.9331337325349301,0.4808369127469443,0.009999999776482582
21,1.9641268796554125,1.3998361254215241,0.5642907527109899,0.05,0.14007962478184988,0.6643109540636042,0.9011976047904192,0.5655085588540234,0.009999999776482582
22,1.979218838527624,1.4162112730979919,0.5630075650422018,0.05,0.1197727272727273,0.7526501766784452,0.843313373253493,0.5959635499319382,0.009999999776482582
23,1.9546897006801969,1.3961915338754654,0.5584981646708853,0.05,0.12597853535353534,0.6925795053003534,0.8872255489021956,0.579805054202549,0.009999999776482582
24,1.9835568178566056,1.4137657705307007,0.5697910464586574,0.05,0.13020562770562769,0.6925795053003534,0.8982035928143712,0.5907830981147246,0.009999999776482582
